"Diposonda,TeamCode,jam,menit,det,csc,data_count,flt_md,alt_rel,probe_stat,selfStand_stat,temp,alt_gps,lat_val,lng_val,sat_val,y_ori,z_ori,gasCO,gasCH4,gasEthanol,gasH2,gasNH3,gasNO2"
"Diposonda,4 : 26 : 10 : 0,1216,F,2.43,N,N,26.63,245.50,-7.053826,110.438461,5,4.06,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 11 : 0,1217,F,2.42,N,N,26.63,245.50,-7.053825,110.438469,5,4.06,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 12 : 0,1218,F,2.43,N,N,26.63,245.50,-7.053824,110.438469,5,4.06,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 13 : 0,1219,F,2.42,N,N,26.64,245.50,-7.053822,110.438477,5,4.06,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 14 : 0,1220,F,2.45,N,N,26.64,245.50,-7.053820,110.438469,5,4.06,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 15 : 0,1221,F,2.46,N,N,26.64,245.50,-7.053822,110.438469,5,4.06,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 16 : 0,1222,F,2.48,N,N,26.65,245.50,-7.053824,110.438461,5,4.00,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 17 : 0,1223,F,2.50,N,N,26.65,245.50,-7.053827,110.438454,5,4.00,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 18 : 0,1224,F,2.53,N,N,26.65,245.50,-7.053830,110.438454,5,4.00,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 19 : 0,1225,F,2.51,N,N,26.65,245.50,-7.053829,110.438438,5,4.00,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 20 : 0,1226,F,2.57,N,N,26.65,245.50,-7.053834,110.438416,5,4.00,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
"Diposonda,4 : 26 : 21 : 0,1227,F,2.58,N,N,26.65,245.40,-7.053837,110.438416,5,4.00,-3.88,0.00,0.00,0.00,0.00,0.00,0.00"
